TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,P_S7PNUMPEZ,P_S7P96,P_S7P97,P_S7P98,P_S7P99,P_S7P100
7,170,68,68001,310001,22537951,68001007,1.0,41190400.0,1,50.0,5.0,0.25
7,170,68,68001,420001,22303666,68001009,1.0,41190300.0,0,0.0,0.0,0.0
7,170,68,68001,690001,22317829,68001027,2.0,41191000.0,1,300.0,5.0,1.5
7,170,68,68001,900001,22318620,68001002,1.0,41190400.0,1,50.0,5.0,0.25
7,170,68,68001,920001,22736078,68001009,1.0,41190300.0,1,200.0,4.0,0.8
7,170,68,68001,970001,22317801,68001024,1.0,41190400.0,1,50.0,3.75,0.1875
7,170,68,68001,1070001,22537968,68001027,1.0,41190400.0,1,30.0,5.0,0.15
7,170,68,68001,5210001,22540941,68001027,2.0,41190600.0,6,80.0,5.0,2.4
7,170,68,68020,10000,9989639,68020005,1.0,41189900.0,0,0.0,0.0,0.0
7,170,68,68020,230000,83025720,68020016,18.0,41190200.0,0,0.0,0.0,0.0
7,170,68,68020,290000,89000823,68020014,18.0,41199900.0,1,30.0,500.0,15.0
7,170,68,68020,740000,89000813,68020007,18.0,41190300.0,1,500.0,500.0,250.0
7,170,68,68020,760000,9990463,68020027,1.0,41190300.0,3,100.0,300.0,90.0
7,170,68,68020,770000,9991011,68020027,1.0,41180201.0,1,200.0,12.0,2.4
7,170,68,68020,770000,9991011,68020027,2.0,41190300.0,1,200.0,1.0,0.2
7,170,68,68020,800000,89000040,68020005,18.0,41199900.0,1,600.0,30.0,18.0
7,170,68,68020,990000,89001081,68020023,18.0,41199900.0,1,30.0,500.0,15.0
7,170,68,68020,1310000,3069672,68020003,1.0,41190200.0,1,500.0,500.0,250.0
7,170,68,68020,1370000,88001686,68020014,18.0,41180201.0,1,1.0,150.0,0.15
7,170,68,68020,1490000,83025699,68020009,18.0,41180201.0,1,25.0,250.0,6.25
7,170,68,68020,1490000,89000032,68020023,18.0,41199900.0,0,0.0,0.0,0.0
7,170,68,68020,1840000,89000555,68020005,18.0,41199900.0,2,20.0,3.0,0.12
7,170,68,68020,1840000,89000555,68020005,28.0,42140100.0,2,60.0,1.0,0.12
7,170,68,68020,1910000,89000856,68020026,18.0,41190400.0,1,20.0,250.0,5.0
7,170,68,68020,2010000,3055810,68020010,1.0,41180201.0,1,30.0,500.0,15.0
7,170,68,68020,2050000,9991019,68020023,1.0,41180201.0,1,200.0,250.0,50.0
7,170,68,68020,99990000,83069742,68020011,18.0,41190500.0,1,40.0,20.0,0.8
7,170,68,68051,680000,9997853,68051004,1.0,41190400.0,2,600.0,250.0,300.0
7,170,68,68051,700000,9998134,68051010,1.0,41191000.0,1,600.0,500.0,300.0
7,170,68,68051,700000,9998406,68051010,1.0,41180201.0,0,0.0,0.0,0.0
7,170,68,68051,900000,9998503,68051004,1.0,41190300.0,1,200.0,500.0,100.0
7,170,68,68051,930000,9996503,68051010,1.0,41190400.0,1,4000.0,1000.0,4000.0
7,170,68,68051,1020000,9998497,68051004,1.0,41180201.0,1,1.0,50.0,0.05
7,170,68,68051,1060000,9998029,68051010,1.0,41190300.0,0,0.0,0.0,0.0
7,170,68,68051,1060000,9998029,68051010,2.0,41190400.0,0,0.0,0.0,0.0
7,170,68,68051,1330000,9997865,68051004,1.0,41190400.0,1,250.0,500.0,125.0
