"","TIPO_REG","PAIS","P_DEPTO","P_MUNIC","UC_UO","ENCUESTA","COD_VEREDA","P_S8_NUMPEZDUL","P_S8P1141","P_S8P1151","P_S8P115A1","P_S8P1161","P_S8P116A1","P_S8_NUMPEZSAL","P_S8P1142","P_S8P1152","P_S8P115A2","P_S8P1162","P_S8P116A2"
"1",8,170,68,68001,"00260001","022318160",68001027,1,41229900,500,1,0,0,0,NA,0,0,0,0
"2",8,170,68,68001,"00395557","022318041",68001013,1,41220800,200,1,200,1,0,NA,0,0,0,0
"3",8,170,68,68001,"00420001","022303666",68001009,1,41229900,5,1,5,1,0,NA,0,0,0,0
"4",8,170,68,68001,"00460001","022317636",68001013,1,41190600,500,1,0,0,0,NA,0,0,0,0
"5",8,170,68,68001,"00920001","022736078",68001009,1,41190300,0,0,0,0,0,NA,0,0,0,0
"6",8,170,68,68001,"00930001","022303762",68001023,1,41190300,1,1,1,1,0,NA,0,0,0,0
"7",8,170,68,68001,"01020001","022318870",68001009,1,41190600,10,1,0,0,0,NA,0,0,0,0
"8",8,170,68,68001,"01071873","022537970",68001027,1,41190300,0,0,10,1,0,NA,0,0,0,0
"9",8,170,68,68001,"07290001","022736087",68001017,3,41190400,1.8,1,720,1,0,NA,0,0,0,0
"10",8,170,68,68020,"01840000","089000555",68020005,18,41190500,0,0,0,0,NA,NA,NA,0,NA,0
"11",8,170,68,68020,"01840000","089000555",68020005,28,41120199,0,0,0,0,NA,NA,NA,0,NA,0
"12",8,170,68,68051,"02040000","009997941",68051003,1,41190400,300,1,300,1,NA,NA,NA,0,NA,0
"13",8,170,68,68051,"02200000","009997913",68051004,1,41190400,1,1,1,1,NA,NA,NA,0,NA,0
"14",8,170,68,68051,"02310000","009999038",68051004,1,41190300,25,1,25,1,NA,NA,NA,0,NA,0
"15",8,170,68,68077,"00020001","060025519",68077005,1,41120199,10,1,10,1,0,NA,0,0,0,0
"16",8,170,68,68077,"00060001","060025522",68077005,1,41190400,3000,1,3000,1,0,NA,0,0,0,0
"17",8,170,68,68077,"00110001","060027972",68077001,1,41190600,0,0,0,0,0,NA,0,0,0,0
"18",8,170,68,68077,"00130001","060028597",68077001,1,41190500,1000,1,0,0,0,NA,0,0,0,0
"19",8,170,68,68077,"00460001","060025135",68077003,1,41190100,600,1,0,0,0,NA,0,0,0,0
"20",8,170,68,68077,"00460001","060025513",68077002,1,41120110,5,1,5,1,0,NA,0,0,0,0
"21",8,170,68,68077,"00480001","060027292",68077001,1,41190100,0.5,1,0.5,1,0,NA,0,0,0,0
"22",8,170,68,68077,"00500001","060025282",68077004,1,41190300,0,0,0,0,0,NA,0,0,0,0
"23",8,170,68,68077,"00650001","060027540",68077999,1,41120199,1.3,1,1.3,1,0,NA,0,0,0,0
"24",8,170,68,68077,"00700000","009990668",68077002,1,41229900,100,1,100,1,NA,NA,NA,0,NA,0
"25",8,170,68,68077,"00770001","060027994",68077001,1,41190700,10,1,0,0,0,NA,0,0,0,0
"26",8,170,68,68077,"00790001","060025478",68077002,1,41229900,2,1,3,1,0,NA,0,0,0,0
"27",8,170,68,68077,"01500001","060025138",68077007,1,41190300,35,1,35,1,0,NA,0,0,0,0
"28",8,170,68,68077,"01750001","060027584",68077002,1,41120108,7,1,0,0,0,NA,0,0,0,0
"29",8,170,68,68077,"01760001","060027585",68077002,1,41190500,300,1,300,1,0,NA,0,0,0,0
"30",8,170,68,68077,"02590000","009990246",68077002,1,41229900,170,1,170,1,NA,NA,NA,0,NA,0
"31",8,170,68,68077,"02590001","060027512",68077002,1,41221200,1.7,1,1.7,1,0,NA,0,0,0,0
"32",8,170,68,68077,"02890001","060028194",68077006,1,41190300,0.5,1,0.5,1,0,NA,0,0,0,0
"33",8,170,68,68077,"06330000","088001718",68077004,18,42129900,100,1,100,1,NA,NA,NA,0,NA,0
"34",8,170,68,68077,"06330001","060029082",68077004,1,41190500,20,1,20,1,0,NA,0,0,0,0
"35",8,170,68,68077,"08330001","060029496",68077004,1,41190400,0,0,0,0,0,NA,0,0,0,0
"36",8,170,68,68079,"00120000","009999162",68079011,1,41190600,60,1,60,1,NA,NA,NA,0,NA,0
"37",8,170,68,68079,"00120000","009999162",68079011,2,41190300,150,1,150,1,NA,NA,NA,0,NA,0
"38",8,170,68,68079,"00120001","060025538",68079011,2,41190300,150,1,150,1,0,NA,0,0,0,0
"39",8,170,68,68079,"00140001","060027242",68079013,1,41190300,1,1,1,1,0,NA,0,0,0,0
"40",8,170,68,68079,"00210000","009997629",68079013,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"41",8,170,68,68079,"00370001","060028572",68079011,1,41190300,75,1,0,0,0,NA,0,0,0,0
"42",8,170,68,68079,"01200001","060025822",68079004,1,41190300,20,1,25,1,0,NA,0,0,0,0
"43",8,170,68,68079,"02350001","060025555",68079010,1,41190300,1,1,1,1,0,NA,0,0,0,0
"44",8,170,68,68081,"00000000","081498016",68081002,18,41229900,1,1,1,1,NA,NA,NA,0,NA,0
"45",8,170,68,68081,"00010000","089001199",68081034,18,41120101,1,1,0,0,NA,NA,NA,0,NA,0
"46",8,170,68,68081,"00050000","009991583",68745040,1,42129900,0,0,0,0,NA,NA,NA,0,NA,0
"47",8,170,68,68081,"00070000","081893272",68081037,18,41190600,10,1,0,0,NA,NA,NA,0,NA,0
"48",8,170,68,68081,"00070000","081893272",68081037,28,41220900,22,1,0,0,NA,NA,NA,0,NA,0
"49",8,170,68,68081,"00090000","081498015",68081044,18,41120199,1,1,1,1,NA,NA,NA,0,NA,0
"50",8,170,68,68081,"00130000","009991411",68081034,1,41190300,30,1,30,1,NA,NA,NA,0,NA,0
"51",8,170,68,68081,"00130000","009991411",68081034,2,41190600,40,1,10,1,NA,NA,NA,0,NA,0
"52",8,170,68,68081,"00130000","009991413",68081034,1,41190300,300,1,0,0,NA,NA,NA,0,NA,0
"53",8,170,68,68081,"00130000","009991427",68081034,1,41220300,1800,1,1000,1,NA,NA,NA,0,NA,0
"54",8,170,68,68081,"00130000","009991427",68081034,2,41190300,800,1,200,1,NA,NA,NA,0,NA,0
"55",8,170,68,68081,"00170000","009991452",68081010,1,41190300,1,1,0,0,NA,NA,NA,0,NA,0
"56",8,170,68,68081,"00170000","009991452",68081010,2,41190600,1,1,0,0,NA,NA,NA,0,NA,0
"57",8,170,68,68081,"00200000","089001175",68081017,18,41229900,10,1,10,1,NA,NA,NA,0,NA,0
"58",8,170,68,68081,"00220000","001128127",68081025,1,42129900,18,1,10,1,NA,NA,NA,0,NA,0
"59",8,170,68,68081,"00220000","001128127",68081025,2,41120101,10,1,5,1,NA,NA,NA,0,NA,0
"60",8,170,68,68081,"00280000","089001180",68081049,18,41190300,10,1,0,0,NA,NA,NA,0,NA,0
"61",8,170,68,68081,"00300000","089001211",68081015,18,41120101,100,1,100,1,NA,NA,NA,0,NA,0
"62",8,170,68,68081,"00300000","089001211",68081015,28,41190600,180,1,100,1,NA,NA,NA,0,NA,0
"63",8,170,68,68081,"00310000","089001324",68081015,18,41190600,100,1,60,1,NA,NA,NA,0,NA,0
