"","TIPO_REG","PAIS","P_DEPTO","P_MUNIC","UC_UO","ENCUESTA","COD_VEREDA","ITER_HG","P_S15P165A","P_S15P165B","P_S15P177","P_S15P178","P_S15P179_SP1","P_S15P179A","P_S15P179_SP2","P_S15P179B","P_S15P179_SP3","P_S15P179C","P_S15P179_SP4","P_S15P180","TOT_PROD_HOGAR"
"1","N",170,68,68001,"00010001","022305317","68307999","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,1
"2","N",170,68,68001,"00010001","022305317","68307999","00201",2,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,1
"3","N",170,68,68001,"00010001","022305317","68307999","00301",3,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,1
"4","N",170,68,68001,"00010001","022316644","68001017","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"5","N",170,68,68001,"00010001","022316644","68001017","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"6","N",170,68,68001,"00010001","022317444","68444015","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"7","N",170,68,68001,"00010001","022317768","68001003","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"8","N",170,68,68001,"00010001","022537783","68001025","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"9","N",170,68,68001,"00010001","022537783","68001025","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"10","N",170,68,68001,"00010001","022537861","68001019","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"11","N",170,68,68001,"00010001","022537861","68001019","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"12","N",170,68,68001,"00013536","022316646","68001017","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"13","N",170,68,68001,"00020001","022317445","68001014","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"14","N",170,68,68001,"00020001","022318652","68001021","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"15","N",170,68,68001,"00020001","022319245","68001025","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"16","N",170,68,68001,"00030001","022317618","68001014","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"17","N",170,68,68001,"00030001","022317981","68001003","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"18","N",170,68,68001,"00030001","022319244","68001025","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,1
"19","N",170,68,68001,"00030001","022319244","68001025","00201",2,1,1,2,1,1984,NA,NA,NA,NA,NA,2,NA
"20","N",170,68,68001,"00040001","022317969","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"21","N",170,68,68001,"00040001","022318014","68001005","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"22","N",170,68,68001,"00040001","022318014","68001005","00102",1,2,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"23","N",170,68,68001,"00040001","022318880","68001017","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"24","N",170,68,68001,"00040001","022318880","68001017","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"25","N",170,68,68001,"00040001","022318880","68001017","00301",3,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"26","N",170,68,68001,"00040001","022318880","68001017","00401",4,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"27","N",170,68,68001,"00040001","022318880","68001017","00501",5,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"28","N",170,68,68001,"00040001","022318880","68001017","00502",5,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"29","N",170,68,68001,"00040001","022319239","68001024","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"30","N",170,68,68001,"00040001","022319239","68001024","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"31","N",170,68,68001,"00040001","022319239","68001024","00301",3,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"32","N",170,68,68001,"00040001","022537426","68001022","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"33","N",170,68,68001,"00040001","022537426","68001022","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"34","N",170,68,68001,"00050001","022318016","68001005","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"35","N",170,68,68001,"00050001","022318016","68001005","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"36","N",170,68,68001,"00050001","022318016","68001005","00301",3,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"37","N",170,68,68001,"00050001","022318016","68001005","00401",4,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"38","N",170,68,68001,"00050001","022537812","68001022","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"39","N",170,68,68001,"00050001","022537812","68001022","00201",2,1,2,1,1,2002,NA,NA,NA,NA,NA,2,NA
"40","N",170,68,68001,"00050001","022537812","68001022","00301",3,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"41","N",170,68,68001,"00055223","022537813","68001022","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"42","N",170,68,68001,"00060001","022316421","68001015","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"43","N",170,68,68001,"00060001","022317805","68001021","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"44","N",170,68,68001,"00060001","022317805","68001021","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"45","N",170,68,68001,"00064481","022316422","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"46","N",170,68,68001,"00070001","022317752","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,2
"47","N",170,68,68001,"00070001","022318648","68001021","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"48","N",170,68,68001,"00070001","022537432","68001022","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"49","N",170,68,68001,"00080001","022317456","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"50","N",170,68,68001,"00080001","022317970","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"51","N",170,68,68001,"00080001","022318042","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"52","N",170,68,68001,"00080001","022537427","68615086","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"53","N",170,68,68001,"00080001","022736089","68001009","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"54","N",170,68,68001,"00080513","022317644","68001004","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"55","N",170,68,68001,"00081036","022317475","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"56","N",170,68,68001,"00081169","022317469","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"57","N",170,68,68001,"00081286","022317642","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"58","N",170,68,68001,"00081314","022317471","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"59","N",170,68,68001,"00081314","022317471","68001004","00102",1,2,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"60","N",170,68,68001,"00081314","022317471","68001004","00103",1,3,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"61","N",170,68,68001,"00081468","022317476","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"62","N",170,68,68001,"00081475","022317468","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"63","N",170,68,68001,"00081690","022317645","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"64","N",170,68,68001,"00081849","022317462","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"65","N",170,68,68001,"00081917","022317643","68001004","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"66","N",170,68,68001,"00082940","022317470","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"67","N",170,68,68001,"00083491","022317647","68001004","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"68","N",170,68,68001,"00083593","022317461","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"69","N",170,68,68001,"00084678","022317458","68001004","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"70","N",170,68,68001,"00085853","022317473","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"71","N",170,68,68001,"00086006","022317641","68001004","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1
"72","N",170,68,68001,"00086163","022318044","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"73","N",170,68,68001,"00086476","022318046","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"74","N",170,68,68001,"00086476","022318046","68001004","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"75","N",170,68,68001,"00086773","022317464","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,2
"76","N",170,68,68001,"00086845","022317646","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"77","N",170,68,68001,"00086852","022317477","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"78","N",170,68,68001,"00086983","022317466","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"79","N",170,68,68001,"00087083","022318045","68001004","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"80","N",170,68,68001,"00087722","022317465","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"81","N",170,68,68001,"00088015","022317457","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"82","N",170,68,68001,"00089457","022317474","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"83","N",170,68,68001,"00089463","022317463","68001004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"84","N",170,68,68001,"00089597","022317472","68001004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"85","N",170,68,68001,"00089841","022318043","68001004","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"86","N",170,68,68001,"00090001","022303103","68001017","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"87","N",170,68,68001,"00090001","022317667","68001021","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"88","N",170,68,68001,"00090001","022318607","68001015","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"89","N",170,68,68001,"00090001","022319241","68001024","00101",1,1,9,9,NA,NA,NA,NA,NA,NA,1,NA,NA
"90","N",170,68,68001,"00090001","022537208","68001022","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"91","N",170,68,68001,"00090001","022537996","68001022","00101",1,1,1,1,1,2011,NA,NA,NA,NA,NA,2,NA
"92","N",170,68,68001,"00100001","022316427","68001024","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"93","N",170,68,68001,"00100001","022317799","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"94","N",170,68,68001,"00100001","022318646","68001021","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"95","N",170,68,68001,"00100001","022537421","68615086","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"96","N",170,68,68001,"00100001","022736092","68001017","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"97","N",170,68,68001,"00107157","022316428","68001024","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"98","N",170,68,68001,"00110001","022303104","68001017","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"99","N",170,68,68001,"00110001","022317666","68001021","00101",1,1,1,1,1,2000,NA,NA,NA,NA,NA,2,NA
"100","N",170,68,68001,"00110001","022318033","68001013","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"101","N",170,68,68001,"00110001","022537811","68615086","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"102","N",170,68,68001,"00110001","022537811","68615086","00301",3,1,2,1,1,1990,NA,NA,NA,NA,NA,2,1
"103","N",170,68,68001,"00113273","022318034","68001013","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"104","N",170,68,68001,"00120001","022303065","68001023","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"105","N",170,68,68001,"00120001","022303065","68001023","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"106","N",170,68,68001,"00120001","022317758","68001015","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"107","N",170,68,68001,"00120001","022537802","68615062","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"108","N",170,68,68001,"00120001","022537802","68615062","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"109","N",170,68,68001,"00130001","022317634","68001013","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"110","N",170,68,68001,"00130001","022318611","68820004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"111","N",170,68,68001,"00130001","022537814","68615086","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"112","N",170,68,68001,"00134667","022537816","68615086","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"113","N",170,68,68001,"00137315","022317635","68001013","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"114","N",170,68,68001,"00137315","022317635","68001013","00201",2,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"115","N",170,68,68001,"00137652","022537815","68615086","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"116","N",170,68,68001,"00137652","022537815","68615086","00201",2,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,1
"117","N",170,68,68001,"00140001","022318612","68820004","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"118","N",170,68,68001,"00140001","022318645","68001021","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"119","N",170,68,68001,"00140001","022319240","68001024","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"120","N",170,68,68001,"00150001","022317455","68001013","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"121","N",170,68,68001,"00150001","022318614","68820004","00101",1,1,2,3,1,1999,NA,NA,NA,NA,NA,2,1
"122","N",170,68,68001,"00150001","022537383","68001024","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"123","N",170,68,68001,"00160001","022317769","68820004","00101",1,1,1,1,1,2002,NA,NA,NA,NA,NA,2,NA
"124","N",170,68,68001,"00160001","022537388","68001024","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"125","N",170,68,68001,"00160001","022537388","68001024","00201",2,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"126","N",170,68,68001,"00168828","022537389","68001024","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"127","N",170,68,68001,"00170001","022317777","68820004","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"128","N",170,68,68001,"00170001","022318608","68001015","00101",1,1,9,9,NA,NA,NA,NA,NA,NA,1,NA,NA
"129","N",170,68,68001,"00170001","022318608","68001015","00201",2,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"130","N",170,68,68001,"00170001","022318608","68001015","00301",3,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"131","N",170,68,68001,"00180001","022305331","68001017","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"132","N",170,68,68001,"00180001","022317446","68001014","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"133","N",170,68,68001,"00180001","022317776","68001006","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"134","N",170,68,68001,"00190000","001641569","68001011","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"135","N",170,68,68001,"00190001","022303106","68001017","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,1
"136","N",170,68,68001,"00190001","022317616","68001014","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"137","N",170,68,68001,"00190001","022317806","68001021","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,1
"138","N",170,68,68001,"00190001","022318627","68001006","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"139","N",170,68,68001,"00190001","022318627","68001006","00201",2,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"140","N",170,68,68001,"00190001","022318627","68001006","00301",3,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"141","N",170,68,68001,"00190001","022537197","68001027","00101",1,1,1,2,1,1998,NA,NA,NA,NA,NA,2,NA
"142","N",170,68,68001,"00190001","022540940","68001027","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"143","N",170,68,68001,"00200000","002370004","68001013","00101",1,1,1,2,1,2009,NA,NA,NA,NA,NA,2,NA
"144","N",170,68,68001,"00200001","022317615","68001014","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"145","N",170,68,68001,"00200001","022317771","68001003","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"146","N",170,68,68001,"00200001","022318657","68001026","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"147","N",170,68,68001,"00200001","022538323","68001027","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"148","N",170,68,68001,"00200001","022538323","68001027","00102",1,2,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"149","N",170,68,68001,"00210000","001662929","68001026","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"150","N",170,68,68001,"00210001","022305332","68001017","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"151","N",170,68,68001,"00210001","022305332","68001017","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"152","N",170,68,68001,"00210001","022317624","68001014","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"153","N",170,68,68001,"00210001","022317772","68001002","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,1
"154","N",170,68,68001,"00210001","022318660","68001026","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"155","N",170,68,68001,"00210001","022538325","68001027","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"156","N",170,68,68001,"00210001","022538325","68001027","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"157","N",170,68,68001,"00210001","022538325","68001027","00301",3,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"158","N",170,68,68001,"00210001","022538325","68001027","00401",4,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"159","N",170,68,68001,"00220001","022317764","68001015","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"160","N",170,68,68001,"00220001","022318165","68001026","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"161","N",170,68,68001,"00220001","022318165","68001026","00201",2,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"162","N",170,68,68001,"00220001","022537382","68001024","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1
"163","N",170,68,68001,"00230001","022317332","68001016","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"164","N",170,68,68001,"00230001","022317617","68001014","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"165","N",170,68,68001,"00230001","022317778","68820004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"166","N",170,68,68001,"00230001","022537377","68001024","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"167","N",170,68,68001,"00230001","022537377","68001024","00201",2,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1
"168","N",170,68,68001,"00233530","022317620","68001014","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"169","N",170,68,68001,"00236914","022317622","68001014","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"170","N",170,68,68001,"00240001","022316607","68001017","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"171","N",170,68,68001,"00240001","022317779","68820004","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"172","N",170,68,68001,"00240001","022318020","68001014","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"173","N",170,68,68001,"00240001","022318583","68001016","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"174","N",170,68,68001,"00240001","022318583","68001016","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"175","N",170,68,68001,"00240001","022318583","68001016","00301",3,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"176","N",170,68,68001,"00240001","022318583","68001016","00401",4,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"177","N",170,68,68001,"00240001","022318583","68001016","00501",5,1,2,3,1,1990,NA,NA,NA,NA,NA,2,NA
"178","N",170,68,68001,"00240001","022537957","68001010","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"179","N",170,68,68001,"00240396","022537960","68001010","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"180","N",170,68,68001,"00244813","022537959","68001010","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"181","N",170,68,68001,"00245439","022537965","68001010","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"182","N",170,68,68001,"00246988","022537963","68001010","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"183","N",170,68,68001,"00247331","022537961","68001010","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"184","N",170,68,68001,"00247922","022318021","68001014","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"185","N",170,68,68001,"00249321","022537964","68001010","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"186","N",170,68,68001,"00250001","022318025","68001014","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"187","N",170,68,68001,"00250001","022318633","68001002","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,1
"188","N",170,68,68001,"00250001","022318888","68001011","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1
"189","N",170,68,68001,"00250001","022537379","68001024","00101",1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"190","N",170,68,68001,"00250001","022736761","68001026","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"191","N",170,68,68001,"00257513","022318027","68001014","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"192","N",170,68,68001,"00259030","022318026","68001014","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"193","N",170,68,68001,"00260000","001641581","68001009","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"194","N",170,68,68001,"00260000","001641581","68001009","00201",2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"195","N",170,68,68001,"00260001","022316612","68001009","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"196","N",170,68,68001,"00260001","022317971","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"197","N",170,68,68001,"00260001","022318028","68001014","00101",1,1,2,1,NA,NA,NA,NA,1,1995,NA,2,NA
"198","N",170,68,68001,"00260001","022318160","68001027","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"199","N",170,68,68001,"00260001","022537378","68001024","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"200","N",170,68,68001,"00266112","022318030","68001014","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"201","N",170,68,68001,"00270001","022316431","68001025","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"202","N",170,68,68001,"00270001","022318606","68001015","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"203","N",170,68,68001,"00280001","022317780","68820004","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"204","N",170,68,68001,"00280001","022317972","68001015","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"205","N",170,68,68001,"00280001","022317972","68001015","00102",1,2,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"206","N",170,68,68001,"00280001","022537386","68001025","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"207","N",170,68,68001,"00280001","022537386","68001025","00201",2,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"208","N",170,68,68001,"00280001","022736758","68001027","00101",1,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,1
"209","N",170,68,68001,"00280001","022736758","68001027","00201",2,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"210","N",170,68,68001,"00290001","022316430","68001025","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"211","N",170,68,68001,"00290001","022316430","68001025","00201",2,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"212","N",170,68,68001,"00290001","022317626","68001014","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"213","N",170,68,68001,"00290001","022317730","68276008","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"214","N",170,68,68001,"00290001","022317759","68001015","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"215","N",170,68,68001,"00290001","022317759","68001015","00201",2,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"216","N",170,68,68001,"00290001","022317803","68001021","00101",1,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"217","N",170,68,68001,"00300001","022303756","68001001","00101",1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"218","N",170,68,68001,"00300001","022317794","68001019","00101",1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"219","N",170,68,68001,"00300001","022317802","68001021","00101",1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
