"","TIPO_REG","PAIS","P_DEPTO","P_MUNIC","UC_UO","ENCUESTA","COD_VEREDA","P_S15P159","P_S15P160","P_S15P161","P_S15P162","P_S15P163","P_S15P164_SP1","P_S15P164_SP2","P_S15P164_SP3","P_S15P164_SP4"
"1","M",170,68,68001,"00010001","022305317","68307999",1,1,1,1,2,1,2,1,NA
"2","M",170,68,68001,"00010001","022305317","68307999",2,1,1,1,2,1,2,1,NA
"3","M",170,68,68001,"00010001","022305317","68307999",3,1,1,1,2,1,2,1,NA
"4","M",170,68,68001,"00010001","022316644","68001017",1,1,1,1,2,1,2,1,NA
"5","M",170,68,68001,"00010001","022316644","68001017",2,1,1,1,2,1,2,1,NA
"6","M",170,68,68001,"00010001","022317444","68444015",1,1,1,2,3,1,2,2,NA
"7","M",170,68,68001,"00010001","022317768","68001003",1,1,1,1,3,1,2,2,NA
"8","M",170,68,68001,"00010001","022537783","68001025",1,1,1,2,2,1,2,1,NA
"9","M",170,68,68001,"00010001","022537783","68001025",2,1,1,2,3,1,2,1,NA
"10","M",170,68,68001,"00010001","022537861","68001019",1,1,1,1,2,1,2,2,NA
"11","M",170,68,68001,"00010001","022537861","68001019",2,1,1,1,3,1,2,1,NA
"12","M",170,68,68001,"00013536","022316646","68001017",1,1,1,1,2,1,2,1,NA
"13","M",170,68,68001,"00020001","022317445","68001014",1,1,1,2,5,1,2,2,NA
"14","M",170,68,68001,"00020001","022317993","68001003",1,3,NA,NA,NA,NA,NA,NA,NA
"15","M",170,68,68001,"00020001","022318652","68001021",1,1,1,2,3,1,2,2,NA
"16","M",170,68,68001,"00020001","022319245","68001025",1,1,1,2,3,1,2,2,NA
"17","M",170,68,68001,"00030001","022317618","68001014",1,1,1,1,3,1,2,2,NA
"18","M",170,68,68001,"00030001","022317807","68001021",1,3,NA,NA,NA,NA,NA,NA,NA
"19","M",170,68,68001,"00030001","022317981","68001003",1,1,1,1,3,1,2,2,NA
"20","M",170,68,68001,"00030001","022319244","68001025",1,1,1,1,3,1,2,2,NA
"21","M",170,68,68001,"00030001","022319244","68001025",2,1,1,1,3,1,2,2,NA
"22","M",170,68,68001,"00040001","022317969","68001015",1,1,1,1,2,1,2,2,NA
"23","M",170,68,68001,"00040001","022318014","68001005",1,1,2,1,3,1,2,2,NA
"24","M",170,68,68001,"00040001","022318880","68001017",1,1,1,1,3,1,2,1,NA
"25","M",170,68,68001,"00040001","022318880","68001017",2,1,1,1,3,1,2,1,NA
"26","M",170,68,68001,"00040001","022318880","68001017",3,1,1,1,3,1,2,1,NA
"27","M",170,68,68001,"00040001","022318880","68001017",4,1,1,1,3,1,2,1,NA
"28","M",170,68,68001,"00040001","022318880","68001017",5,1,2,1,2,1,2,1,NA
"29","M",170,68,68001,"00040001","022319239","68001024",1,1,1,1,3,1,1,2,NA
"30","M",170,68,68001,"00040001","022319239","68001024",2,1,1,3,5,1,2,2,NA
"31","M",170,68,68001,"00040001","022319239","68001024",3,1,1,1,3,1,1,2,NA
"32","M",170,68,68001,"00040001","022537426","68001022",1,1,1,1,4,1,2,1,NA
"33","M",170,68,68001,"00040001","022537426","68001022",2,1,1,1,3,1,2,1,NA
"34","M",170,68,68001,"00040001","022537426","68001022",3,4,NA,NA,NA,NA,NA,NA,NA
"35","M",170,68,68001,"00050001","022317967","68001015",1,4,NA,NA,NA,NA,NA,NA,NA
